,index,ZMB GDP growth (annual %),CHE GDP growth (annual %),CHN GDP growth (annual %),ZAF GDP growth (annual %),Exports of goods and services (current US$),"Foreign direct investment, net inflows (% of GDP)",Copper ($/mt),External debt stocks (% of GNI),Average precipitation in depth (mm per year)
0,1960.0,,,,,,,678.75583333333,,
1,1961.0,1.36138199147489,8.10867221090632,-27.2700000038883,3.84473414174089,,,633.08416666667,,1020.0
2,1962.0,-2.49083947454871,4.78994131635299,-5.57999999019671,6.17793085042746,,,645.14333333333,,1020.0
3,1963.0,3.27239289272524,4.87919908861309,10.2999999963989,7.37370924877223,,,645.95083333333,,1020.0
4,1964.0,12.2140480179323,5.25635078619852,18.1799999938203,7.93960864480677,,,969.75333333333,,1020.0
5,1965.0,16.6474559632126,2.10455491544954,16.9500000038699,6.12279809601442,,,1292.84416666667,,1020.0
6,1966.0,-5.57030980860466,2.46145745672325,10.6499999984174,4.43838608946889,,,1531.51333333333,,1020.0
7,1967.0,7.91969651199875,3.05592216743931,-5.77000000405148,7.19652306514106,,,1134.7725,,1020.0
8,1968.0,1.24832998222797,3.58802600373956,-4.09999998647768,4.15337298293346,,,1241.9525,,1020.0
9,1969.0,-0.436915823088214,5.63291212254617,16.9399999960609,4.71590286722241,,,1467.34,,1020.0
10,1970.0,4.79711290318896,6.3774065194208,19.2999999967022,5.24866143118292,,0.532206515289301,1415.7,46.699932341955,1020.0
11,1971.0,-0.0860395508674401,4.07544263654522,7.05999999853672,4.27893440296982,,0.509296980195756,1081.41666666667,53.4899281117582,1020.0
12,1972.0,9.20886514231279,3.20050876339681,3.81000000021984,1.65482970884699,,1.54880055857944,1057.675,52.9059736406643,1020.0
13,1973.0,-0.962048756426327,3.04990737667008,7.76000000084325,4.57194474637271,,1.31457044904813,1785.35833333333,45.8907665790275,1020.0
14,1974.0,6.42815854892096,1.45490788032913,2.31000000294736,6.11112210372188,,1.30540173840158,2058.5,43.9379109211226,1020.0
15,1975.0,-2.26932892418952,-7.2831743804977,8.71999999747992,1.69543377931099,,1.55567336946283,1234.75,74.004975192188,1020.0
16,1976.0,6.22097526707175,-1.40367604081918,-1.57000000165326,2.24986032919334,,1.13020745972677,1400.75,75.9562187557537,1020.0
17,1977.0,-4.5642361743654,2.4336521429565,7.57000000138403,-0.0939791161255812,,1.70794944022453,1308.75,97.1830454580142,1020.0
18,1978.0,0.553763844248408,0.409083760053534,11.3259779878892,3.01447977912923,,1.37316094252159,1364.83333333333,97.8534089094816,1020.0
19,1979.0,-3.02393103121803,2.49151208080576,7.59132468000007,3.79051926405782,,1.04966671678444,1985.25833333333,99.1698715630397,1020.0
20,1980.0,3.03562235066106,4.60197730568336,7.83414501593799,6.62058342724157,,1.58835139487313,2182.09166666667,90.4832053065349,1020.0
21,1981.0,6.16795740650589,1.60133597507155,5.11276109058952,5.36079105964045,,-0.95805359499627,1741.95,92.669289137594,1020.0
22,1982.0,-2.81278262868891,-1.30941759603877,9.05928417062999,-0.383419108375435,,1.00746112980836,1480.44166666667,100.756323268905,1020.0
23,1983.0,-1.96668929762134,0.639079378496405,10.7273706842105,-1.84655774595063,,0.773852004209318,1591.925,121.981605138484,1020.0
24,1984.0,-0.336834899256019,3.00845657385564,15.2325609955089,5.09915163001477,,0.632464800715879,1377.31666666667,153.57622700041,1020.0
25,1985.0,1.61531036759311,3.67359579947677,13.435474366529,-1.21154088240387,,2.28639468617875,1417.38333333333,225.95569530271,1020.0
26,1986.0,0.723893955923913,1.85863294100406,8.93506493506504,0.0178492401652193,,1.7002986254498,1373.78166666667,414.942857751139,1020.0
27,1987.0,2.67566171341133,1.58547798189052,11.6282225655699,2.10072902053675,,3.28881880680764,1782.50333333333,337.281512810581,1020.0
28,1988.0,6.28074900897693,3.27759628671245,11.2225949825209,4.20010964838187,,2.50209302306719,2601.67166666667,201.742108142264,1020.0
29,1989.0,-1.02350178869868,4.33079421991349,4.20633435547828,2.39479511538406,,4.09795728965057,2848.41,182.660213749883,1020.0
30,1990.0,-0.481072027781664,3.67462550079662,3.9416305983694,-0.317760426540374,,6.16412608064376,2661.4825,229.538020722046,1020.0
31,1991.0,-0.0361333838823299,-0.915816616547943,9.36170212784847,-1.0182449675445,,1.01575254601441,2338.7825,232.498520026532,1020.0
32,1992.0,-1.73092217352566,-0.0437330086271288,14.2996108947926,-2.13703284500521,,1.41384462501141,2281.1575,233.666931212624,1020.0
33,1993.0,6.79727404907118,-0.125983460416222,13.9290780143689,1.23355793864741,,9.6043832825919,1913.07666666667,214.606589149781,1020.0
34,1994.0,-8.62544195231277,1.26975779924055,13.0727091631599,3.20000000297172,1204932092.96489,1.09385070431742,2307.4175,199.05592954765,1020.0
35,1995.0,2.89766889341698,0.480866374676907,11.0328121562746,3.10000000054411,1252536629.79289,2.81062427616587,2935.60583333333,195.170857636692,1020.0
36,1996.0,6.21854648894293,0.471280025458157,9.97619992053447,4.29999999726792,1024449292.15995,3.53328309110399,2294.85666666667,208.186285512222,1020.0
37,1997.0,3.81400749718355,2.26132529914345,9.2876465280865,2.60000000146347,1177864173.24332,4.81956998648727,2276.76666666667,164.339726879577,1020.0
38,1998.0,-0.38574614579035,3.02996930632413,7.92079207933551,0.50000000034143,870912946.834945,5.59679036097289,1654.05833333333,207.250294398503,1020.0
39,1999.0,4.6501897463741,1.66270104939127,7.7370030581299,2.39999999746338,852338277.040509,4.7587086630329,1572.86083333333,183.714702165448,1020.0
40,2000.0,3.89732294341896,3.95871990780931,8.58643201808462,4.20000000067826,861410215.362776,3.37996207983055,1813.46916666667,168.74595025929,1020.0
41,2001.0,5.31686827418419,1.57566198688916,8.31263887091522,2.70000000019104,1028101890.50758,3.54138670780308,1578.28833333333,157.635418691761,1020.0
42,2002.0,4.50601428032604,-0.0732172569941127,9.24339326638321,3.70037440406668,1137945889.53973,7.11494136195091,1559.4775,165.237577725425,1020.0
43,2003.0,6.94497398221223,-0.0323984255438887,10.1181928640117,2.94907546754213,1258994467.03981,7.07893144253237,1779.14483333333,144.62151406803,1020.0
44,2004.0,7.03239511515218,2.70170912949028,10.1314073631003,4.55455990721774,2086559263.42497,5.85168864010044,2865.88491666667,129.644064882373,1020.0
45,2005.0,7.23559900655543,2.74969910618739,11.458238455067,5.27705197295467,2550444807.88619,4.28403218909524,3678.87641666667,69.7392192459111,1020.0
46,2006.0,7.90369444480079,4.0736284178369,12.6746751655235,5.60380645895889,4157837750.82568,4.82712872237458,6722.1345,19.4214830465834,1020.0
47,2007.0,8.35243624447406,3.91637577227581,14.1499854947127,5.36047405394162,4721899912.55465,9.41811167277731,7118.226,21.8985577061852,1020.0
48,2008.0,7.77389581542363,2.8079835919566,9.67024588602851,3.1910438863288,5179705635.79571,5.24050811284723,6955.87983333333,17.7868258785837,1020.0
49,2009.0,9.2203484058663,-2.29737452570922,9.40269972778044,-1.53808913525583,4483693050.07828,4.53277977632725,5149.73858333333,24.4196980321342,1020.0
50,2010.0,10.2982233241213,3.24339715656356,10.5962719761682,3.03973288127956,7503512538.82554,8.53319643791576,7534.77958333333,22.8577652777151,1020.0
51,2011.0,5.56925219263019,1.81310830459596,9.4613358870736,3.16855627858818,9494352665.25398,4.72516156867912,8828.1875,23.3139842267552,1020.0
52,2012.0,7.59738104901994,1.17925385250513,7.85617427055587,2.39623238465745,10222369008.995,6.78938124085044,7962.34706281927,24.6574539542756,1020.0
53,2013.0,5.05753695047252,1.79214400716117,7.77872409446717,2.48546800826588,11350236220.4724,7.48932505567266,7332.10047748447,24.8009879997029,1020.0
54,2014.0,4.69328316376705,2.34988141500179,7.46190028229434,1.41382645223793,10536766856.2145,5.55542791808588,6863.3975,36.2953659204568,1020.0
55,2015.0,2.92037511217961,1.64462750849488,6.97878002657477,1.32186223678229,7892388633.94057,7.44741668984243,5510.45666666667,59.0750571840252,1020.0
56,2016.0,3.75510031678988,2.06868969039562,6.77555562837017,0.664552307858116,7403491271.28836,3.16251974813899,4867.8975,77.571432468707,1020.0
57,2017.0,3.52586277149926,1.36279965488859,6.8912663621211,1.15794695181735,9053912487.52298,4.28050117059574,6169.94,96.0061537858578,1020.0
