,Year,GDP,CHE,CHN,ZAF,EXP,FDI,COP,DEBT,PRECIP
0,1960.0,221.559848922849,1954.3113206427,89.7150749167731,532.147504330332,,,678.75583333333,,
1,1961.0,209.693206426951,2155.44996908648,75.9655011127574,545.657511922673,,,633.08416666667,,1020.0
2,1962.0,202.28103119051,2330.47736501501,71.0616845971262,563.423008817945,,,645.14333333333,,1020.0
3,1963.0,203.219451227586,2508.47430732203,74.4681540864463,604.536855270991,,,645.95083333333,,1020.0
4,1964.0,229.979245632097,2734.93009044177,85.6611074645449,645.873375685446,,,969.75333333333,,1020.0
5,1965.0,287.42547598963,2865.2448479366,98.6681688740435,684.62122774035,,,1292.84416666667,,1020.0
6,1966.0,325.025847276562,3044.84560389449,104.50646350178,721.75375941418,,,1531.51333333333,,1020.0
7,1967.0,340.579940386412,3237.27315217356,96.7614480104016,778.839335829791,,,1134.7725,,1020.0
8,1968.0,387.087288652294,3413.49358157003,91.6454581848979,817.128340614066,,,1241.9525,,1020.0
9,1969.0,458.981650783744,3657.20794240553,100.308139479526,890.922089102936,,,1467.34,,1020.0
10,1970.0,413.904675224945,4044.42068227245,113.346243039894,952.352188073537,,0.532206515289301,1415.7,46.699932341955,1020.0
11,1971.0,372.144071511389,4834.74049399485,118.84249157909,1020.43983590718,,0.509296980195756,1081.41666666667,53.4899281117582,1020.0
12,1972.0,409.781146356948,5884.77524107186,132.097410431007,1038.39407468283,,1.54880055857944,1057.675,52.9059736406643,1020.0
13,1973.0,517.630055161873,7855.91887040854,157.339888078555,1369.16160033933,,1.31457044904813,1785.35833333333,45.8907665790275,1020.0
14,1974.0,601.101371432691,9004.788599,160.402546852304,1656.2890557998,,1.30540173840158,2058.5,43.9379109211226,1020.0
15,1975.0,489.505018740558,10328.1089388433,178.621249282085,1670.11816898954,,1.55567336946283,1234.75,74.004975192188,1020.0
16,1976.0,533.231631721853,10864.971231108,165.680987722637,1558.99824733487,,1.13020745972677,1400.75,75.9562187557537,1020.0
17,1977.0,474.362362443019,11643.6467397732,185.728620718294,1671.46618837272,,1.70794944022453,1308.75,97.1830454580142,1020.0
18,1978.0,514.334878626644,16282.1932458492,156.655616850835,1851.75191300848,,1.37316094252159,1364.83333333333,97.8534089094816,1020.0
19,1979.0,595.455849101956,18265.5588649103,184.285853059043,2201.51922339868,,1.04966671678444,1985.25833333333,99.1698715630397,1020.0
20,1980.0,669.419722015371,19393.8805480097,195.149479992051,3028.97447561832,,1.58835139487313,2182.09166666667,90.4832053065349,1020.0
21,1981.0,669.886829361684,17665.0138979789,197.425510967822,3049.71474333882,,-0.95805359499627,1741.95,92.669289137594,1020.0
22,1982.0,626.532533448195,17999.969257078,203.722788366928,2717.16388710425,,1.00746112980836,1480.44166666667,100.756323268905,1020.0
23,1983.0,520.45583354177,17859.2323695837,225.86534696156,2938.48980239675,,0.773852004209318,1591.925,121.981605138484,1020.0
24,1984.0,413.269974271735,16991.2458841517,251.192686463827,2504.07736790289,,0.632464800715879,1377.31666666667,153.57622700041,1020.0
25,1985.0,332.173737253298,17152.0948495991,295.007445815897,1839.4841908184,,2.28639468617875,1417.38333333333,225.95569530271,1020.0
26,1986.0,238.23379616097,24459.8536348433,282.445603096707,2027.4662038189,,1.7002986254498,1373.78166666667,414.942857751139,1020.0
27,1987.0,314.999602622841,30440.5108240499,252.256760114454,2586.27423314228,,3.28881880680764,1782.50333333333,337.281512810581,1020.0
28,1988.0,504.486020154114,32690.4302734561,284.023573149686,2702.05504774508,,2.50209302306719,2601.67166666667,201.742108142264,1020.0
29,1989.0,526.361769256072,31308.6508343136,311.429461227032,2726.70980679488,,4.09795728965057,2848.41,182.660213749883,1020.0
30,1990.0,422.336298804219,39574.5398083788,318.50335359039,3093.48920352334,,6.16412608064376,2661.4825,229.538020722046,1020.0
31,1991.0,423.071256835592,39544.4946826768,334.130288119078,3243.23616023953,,1.01575254601441,2338.7825,232.498520026532,1020.0
32,1992.0,389.254665832226,40713.6881521435,367.822651903542,3462.39400202835,,1.41384462501141,2281.1575,233.666931212624,1020.0
33,1993.0,390.916673784646,39237.1186558781,378.939353053314,3399.64009566241,,9.6043832825919,1913.07666666667,214.606589149781,1020.0
34,1994.0,426.386598390102,43091.7770970073,475.677874448369,3488.59711541763,1204932092.96489,1.09385070431742,2307.4175,199.05592954765,1020.0
35,1995.0,433.312782642118,50113.8321221345,612.680277898627,3855.6340871567,1252536629.79289,2.81062427616587,2935.60583333333,195.170857636692,1020.0
36,1996.0,399.511304742449,48092.6433036512,713.337387811657,3617.55336002932,1024449292.15995,3.53328309110399,2294.85666666667,208.186285512222,1020.0
37,1997.0,465.871942164799,41584.441782159,786.743548510999,3700.23554789867,1177864173.24332,4.81956998648727,2276.76666666667,164.339726879577,1020.0
38,1998.0,373.084763057408,42680.5867322391,835.095348597432,3309.60933087472,870912946.834945,5.59679036097289,1654.05833333333,207.250294398503,1020.0
39,1999.0,349.515723095687,41695.6912912021,881.146614068925,3242.36830483958,852338277.040509,4.7587086630329,1572.86083333333,183.714702165448,1020.0
40,2000.0,359.429500988221,38865.021939688,969.199513696287,3217.84693448467,861410215.362776,3.37996207983055,1813.46916666667,168.74595025929,1020.0
41,2001.0,396.548952993504,39638.7911061864,1065.40597574519,2847.15191945908,1028101890.50758,3.54138670780308,1578.28833333333,157.635418691761,1020.0
42,2002.0,393.864625518616,42458.7384679187,1163.55957673426,2688.23676032806,1137945889.53973,7.11494136195091,1559.4775,165.237577725425,1020.0
43,2003.0,446.290104839041,49335.7456291067,1306.97245408557,4062.21755993786,1258994467.03981,7.07893144253237,1779.14483333333,144.62151406803,1020.0
44,2004.0,548.685974566277,54659.4571488233,1530.92726215723,5221.46333731721,2086559263.42497,5.85168864010044,2865.88491666667,129.644064882373,1020.0
45,2005.0,710.982068171696,56242.8933645639,1777.64496828464,5836.87663325127,2550444807.88619,4.28403218909524,3678.87641666667,69.7392192459111,1020.0
46,2006.0,1051.71714895686,59011.0324592016,2129.25696999613,6077.38293388876,4157837750.82568,4.82712872237458,6722.1345,19.4214830465834,1020.0
47,2007.0,1118.73162626953,64989.1553256031,2734.72709877693,6591.85535960564,4721899912.55465,9.41811167277731,7118.226,21.8985577061852,1020.0
48,2008.0,1375.50211006997,74175.1927898555,3523.44302065213,6184.75474328399,5179705635.79571,5.24050811284723,6955.87983333333,17.7868258785837,1020.0
49,2009.0,1136.24168316848,71568.3123885672,3898.24459158811,6374.70560042992,4483693050.07828,4.53277977632725,5149.73858333333,24.4196980321342,1020.0
